response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1790,0.0017,0.0000,0.0002,0.1763,0.0002,200,1.0089
0.1792,0.0023,0.0000,0.0001,0.1760,0.0002,200,1.0089
0.1798,0.0012,0.0000,0.0001,0.1780,0.0004,200,2.0099
0.3663,0.0025,0.0000,0.0001,0.3599,0.0036,200,2.0096
0.1823,0.0005,0.0000,0.0001,0.1793,0.0024,200,3.0079
0.1884,0.0052,0.0000,0.0003,0.1826,0.0002,200,3.0078
0.3973,0.0023,0.0000,0.0001,0.3947,0.0002,200,4.0158
0.5751,0.0044,0.0000,0.0001,0.5703,0.0002,200,4.0135
0.1782,0.0007,0.0000,0.0001,0.1772,0.0002,200,5.0083
0.1783,0.0004,0.0000,0.0002,0.1776,0.0000,200,5.0082
0.1777,0.0007,0.0000,0.0001,0.1766,0.0002,200,6.0072
0.1790,0.0009,0.0000,0.0001,0.1778,0.0001,200,6.0074
0.1771,0.0013,0.0000,0.0000,0.1756,0.0001,200,7.0074
0.1773,0.0009,0.0000,0.0001,0.1760,0.0003,200,7.0076
0.2061,0.0019,0.0000,0.0001,0.2013,0.0011,200,8.0085
0.3796,0.0002,0.0000,0.0001,0.3790,0.0003,200,8.0122
0.1774,0.0005,0.0000,0.0002,0.1763,0.0004,200,9.0089
0.1780,0.0005,0.0000,0.0000,0.1774,0.0001,200,9.0093
0.1779,0.0021,0.0000,0.0001,0.1754,0.0002,200,10.0218
0.1774,0.0015,0.0000,0.0001,0.1757,0.0001,200,10.0224
0.1799,0.0023,0.0000,0.0001,0.1773,0.0002,200,11.0115
0.1831,0.0045,0.0000,0.0001,0.1779,0.0005,200,11.0122
0.1876,0.0007,0.0000,0.0001,0.1852,0.0015,200,12.0065
0.3744,0.0012,0.0000,0.0001,0.3729,0.0002,200,12.0075
0.1802,0.0004,0.0000,0.0001,0.1793,0.0002,200,13.0071
0.3560,0.0005,0.0000,0.0001,0.3551,0.0002,200,13.0070
0.1794,0.0004,0.0000,0.0003,0.1784,0.0002,200,14.0067
0.3551,0.0004,0.0000,0.0002,0.3540,0.0004,200,14.0067
0.1796,0.0006,0.0000,0.0003,0.1779,0.0005,200,15.0068
0.1826,0.0010,0.0000,0.0001,0.1811,0.0004,200,15.0072
0.1761,0.0007,0.0000,0.0001,0.1751,0.0002,200,16.0064
0.1765,0.0008,0.0000,0.0001,0.1755,0.0001,200,16.0066
0.1778,0.0007,0.0000,0.0001,0.1767,0.0002,200,17.0074
0.3526,0.0008,0.0000,0.0001,0.3515,0.0002,200,17.0073
0.1766,0.0005,0.0000,0.0001,0.1758,0.0002,200,18.1430
0.1842,0.0002,0.0000,0.0001,0.1835,0.0003,200,18.1430
0.1775,0.0004,0.0000,0.0001,0.1767,0.0003,200,19.0073
0.3541,0.0002,0.0000,0.0001,0.3536,0.0002,200,19.0075
0.1774,0.0004,0.0000,0.0001,0.1766,0.0004,200,20.0067
0.3616,0.0004,0.0000,0.0001,0.3609,0.0002,200,20.0067
0.1763,0.0005,0.0000,0.0001,0.1755,0.0003,200,21.0074
0.1776,0.0008,0.0000,0.0001,0.1766,0.0002,200,21.0072
