response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1771,0.0007,0.0000,0.0000,0.1762,0.0001,200,1.0099
0.1783,0.0010,0.0000,0.0001,0.1770,0.0001,200,1.0091
0.1778,0.0008,0.0000,0.0000,0.1770,0.0000,200,1.0096
0.1799,0.0009,0.0000,0.0001,0.1763,0.0025,200,1.0092
0.3532,0.0005,0.0000,0.0001,0.3523,0.0002,200,1.0097
0.3537,0.0008,0.0000,0.0001,0.3525,0.0002,200,1.0093
0.5289,0.0005,0.0000,0.0000,0.5281,0.0003,200,1.0099
0.7134,0.0001,0.0000,0.0002,0.7114,0.0002,200,1.0092
0.1768,0.0004,0.0000,0.0001,0.1762,0.0001,200,2.0099
0.1761,0.0003,0.0000,0.0000,0.1757,0.0001,200,2.0106
0.1775,0.0004,0.0000,0.0001,0.1768,0.0002,200,2.0091
0.1770,0.0006,0.0000,0.0001,0.1763,0.0001,200,2.0098
0.3530,0.0008,0.0000,0.0002,0.3519,0.0001,200,2.0096
0.3528,0.0009,0.0000,0.0001,0.3517,0.0002,200,2.0097
0.5277,0.0003,0.0000,0.0001,0.5271,0.0002,200,2.0100
0.7022,0.0003,0.0000,0.0002,0.7016,0.0002,200,2.0105
0.1769,0.0003,0.0000,0.0001,0.1764,0.0001,200,3.0097
0.1773,0.0005,0.0000,0.0001,0.1766,0.0001,200,3.0093
0.1761,0.0002,0.0000,0.0001,0.1759,0.0000,200,3.0105
0.1772,0.0006,0.0000,0.0003,0.1762,0.0001,200,3.0094
0.3529,0.0001,0.0000,0.0002,0.3524,0.0002,200,3.0100
0.3527,0.0003,0.0000,0.0000,0.3521,0.0002,200,3.0103
0.3530,0.0004,0.0000,0.0001,0.3524,0.0001,200,3.0099
0.5275,0.0003,0.0000,0.0001,0.5269,0.0001,200,3.0101
0.1773,0.0006,0.0000,0.0002,0.1764,0.0001,200,4.0097
0.1780,0.0009,0.0000,0.0007,0.1759,0.0003,200,4.0091
0.1779,0.0008,0.0000,0.0005,0.1762,0.0003,200,4.0092
0.1779,0.0007,0.0000,0.0001,0.1770,0.0001,200,4.0095
0.3530,0.0007,0.0000,0.0004,0.3517,0.0001,200,4.0096
0.3530,0.0001,0.0000,0.0007,0.3522,0.0000,200,4.0096
0.5287,0.0002,0.0000,0.0002,0.5282,0.0002,200,4.0101
0.7035,0.0001,0.0000,0.0001,0.7031,0.0002,200,4.0102
0.1767,0.0006,0.0000,0.0001,0.1757,0.0002,200,5.0092
0.1776,0.0005,0.0000,0.0001,0.1767,0.0003,200,5.0094
0.1794,0.0014,0.0000,0.0001,0.1775,0.0004,200,5.0088
0.1845,0.0008,0.0000,0.0001,0.1833,0.0001,200,5.0091
0.3532,0.0017,0.0000,0.0001,0.3513,0.0002,200,5.0103
0.3541,0.0004,0.0000,0.0001,0.3535,0.0001,200,5.0096
0.3534,0.0002,0.0000,0.0000,0.3531,0.0001,200,5.0101
0.3596,0.0003,0.0000,0.0000,0.3592,0.0001,200,5.0100
0.1769,0.0007,0.0000,0.0000,0.1760,0.0001,200,6.0200
0.1776,0.0009,0.0000,0.0002,0.1764,0.0001,200,6.0196
0.1781,0.0013,0.0000,0.0002,0.1766,0.0001,200,6.0193
0.3527,0.0007,0.0000,0.0001,0.3517,0.0001,200,6.0198
0.3527,0.0007,0.0000,0.0003,0.3517,0.0000,200,6.0198
0.3525,0.0005,0.0000,0.0001,0.3519,0.0001,200,6.0200
0.5284,0.0002,0.0000,0.0003,0.5278,0.0001,200,6.0202
0.5287,0.0006,0.0000,0.0002,0.5278,0.0001,200,6.0199
0.1758,0.0001,0.0000,0.0001,0.1755,0.0001,200,7.0097
0.1760,0.0002,0.0000,0.0002,0.1755,0.0000,200,7.0096
0.1765,0.0008,0.0000,0.0003,0.1754,0.0001,200,7.0091
0.3517,0.0007,0.0000,0.0003,0.3506,0.0001,200,7.0091
0.3514,0.0003,0.0000,0.0003,0.3508,0.0000,200,7.0095
0.3517,0.0001,0.0000,0.0002,0.3513,0.0000,200,7.0096
0.5271,0.0004,0.0000,0.0002,0.5264,0.0001,200,7.0095
0.5273,0.0004,0.0000,0.0003,0.5264,0.0001,200,7.0093
0.1764,0.0008,0.0000,0.0002,0.1753,0.0001,200,8.0101
0.1771,0.0007,0.0000,0.0004,0.1759,0.0001,200,8.0102
0.1841,0.0006,0.0000,0.0001,0.1833,0.0001,200,8.0104
0.3516,0.0009,0.0000,0.0002,0.3503,0.0002,200,8.0101
0.3516,0.0002,0.0000,0.0002,0.3511,0.0001,200,8.0106
0.5270,0.0012,0.0000,0.0002,0.5254,0.0002,200,8.0098
0.7028,0.0006,0.0000,0.0003,0.7016,0.0002,200,8.0103
0.8800,0.0019,0.0000,0.0002,0.8777,0.0002,200,8.0091
0.1767,0.0004,0.0000,0.0001,0.1761,0.0001,200,9.0103
0.1774,0.0010,0.0000,0.0001,0.1759,0.0003,200,9.0096
0.1846,0.0006,0.0000,0.0001,0.1837,0.0002,200,9.0101
0.2034,0.0007,0.0000,0.0001,0.2024,0.0002,200,9.0100
0.3566,0.0004,0.0000,0.0002,0.3559,0.0001,200,9.0101
0.3608,0.0009,0.0000,0.0001,0.3596,0.0002,200,9.0097
0.3805,0.0001,0.0000,0.0001,0.3798,0.0003,200,9.0102
0.5324,0.0003,0.0000,0.0001,0.5319,0.0001,200,9.0103
0.1761,0.0002,0.0000,0.0003,0.1753,0.0002,200,10.0096
0.1764,0.0005,0.0000,0.0001,0.1753,0.0002,200,10.0092
0.1772,0.0008,0.0000,0.0002,0.1761,0.0001,200,10.0092
0.1770,0.0004,0.0000,0.0003,0.1762,0.0000,200,10.0095
0.3517,0.0006,0.0000,0.0004,0.3505,0.0002,200,10.0092
0.3522,0.0003,0.0000,0.0001,0.3515,0.0002,200,10.0094
0.3528,0.0002,0.0000,0.0003,0.3523,0.0001,200,10.0096
0.5265,0.0008,0.0000,0.0003,0.5252,0.0002,200,10.0091
0.1761,0.0001,0.0000,0.0000,0.1756,0.0001,200,11.0096
0.1763,0.0002,0.0000,0.0003,0.1757,0.0001,200,11.0093
0.1764,0.0005,0.0000,0.0002,0.1756,0.0001,200,11.0093
0.1776,0.0002,0.0000,0.0003,0.1768,0.0003,200,11.0093
0.1879,0.0003,0.0000,0.0002,0.1872,0.0002,200,11.0095
0.3520,0.0003,0.0000,0.0002,0.3513,0.0001,200,11.0095
0.3526,0.0003,0.0000,0.0004,0.3515,0.0004,200,11.0093
0.5270,0.0001,0.0000,-0.0000,0.5267,0.0003,200,11.0099
0.1765,0.0005,0.0000,0.0001,0.1758,0.0001,200,12.0092
0.1768,0.0004,0.0000,0.0002,0.1761,0.0000,200,12.0089
0.1766,0.0002,0.0000,0.0000,0.1761,0.0001,200,12.0094
0.1819,0.0002,0.0000,0.0001,0.1816,0.0001,200,12.0096
0.3526,0.0006,0.0000,0.0001,0.3517,0.0002,200,12.0091
0.3525,0.0005,0.0000,0.0000,0.3519,0.0000,200,12.0093
0.3528,0.0002,0.0000,0.0000,0.3524,0.0001,200,12.0098
0.5280,0.0003,0.0000,0.0001,0.5275,0.0001,200,12.0098
0.1761,0.0007,0.0000,0.0001,0.1749,0.0002,200,13.0095
0.1768,0.0006,0.0000,0.0001,0.1760,0.0001,200,13.0098
0.1767,0.0005,0.0000,0.0000,0.1758,0.0001,200,13.0099
0.1773,0.0013,0.0000,0.0001,0.1759,0.0000,200,13.0093
0.3508,0.0006,0.0000,0.0001,0.3499,0.0001,200,13.0098
0.3525,0.0005,0.0000,0.0001,0.3518,0.0001,200,13.0099
0.3524,0.0004,0.0000,0.0002,0.3518,0.0000,200,13.0101
0.5275,0.0004,0.0000,0.0000,0.5269,0.0001,200,13.0102
0.1764,0.0002,0.0000,0.0003,0.1759,0.0001,200,14.0094
0.1763,0.0004,0.0000,0.0002,0.1755,0.0002,200,14.0096
0.1766,0.0004,0.0000,0.0003,0.1758,0.0001,200,14.0092
0.1776,0.0007,0.0000,0.0001,0.1767,0.0001,200,14.0091
0.3528,0.0004,0.0000,0.0004,0.3518,0.0002,200,14.0091
0.3525,0.0002,0.0000,0.0002,0.3520,0.0001,200,14.0095
0.3542,0.0005,0.0000,0.0003,0.3532,0.0001,200,14.0091
0.5296,0.0001,0.0000,0.0002,0.5290,0.0002,200,14.0095
0.1764,0.0002,0.0000,0.0004,0.1756,0.0001,200,15.0103
0.1767,0.0005,0.0000,0.0004,0.1757,0.0000,200,15.0100
0.1762,0.0002,0.0000,0.0001,0.1757,0.0001,200,15.0105
0.1761,0.0002,0.0000,0.0000,0.1757,0.0001,200,15.0107
0.1867,0.0007,0.0000,0.0003,0.1855,0.0001,200,15.0100
0.3526,0.0002,0.0000,0.0002,0.3519,0.0004,200,15.0106
0.3528,0.0003,0.0000,0.0002,0.3518,0.0004,200,15.0105
0.3619,0.0001,0.0000,0.0001,0.3616,0.0001,200,15.0106
0.1760,0.0005,0.0000,0.0002,0.1752,0.0002,200,16.0108
0.1772,0.0008,0.0000,0.0003,0.1760,0.0001,200,16.0105
0.1777,0.0011,0.0000,0.0002,0.1762,0.0001,200,16.0102
0.1783,0.0007,0.0000,0.0002,0.1773,0.0001,200,16.0099
0.3529,0.0004,0.0000,0.0004,0.3520,0.0002,200,16.0109
0.3527,0.0001,0.0000,0.0002,0.3522,0.0002,200,16.0111
0.3528,0.0003,0.0000,0.0001,0.3523,0.0001,200,16.0110
0.5287,0.0002,0.0000,0.0001,0.5282,0.0001,200,16.0111
0.1768,0.0003,0.0000,0.0002,0.1760,0.0002,200,17.0107
0.1779,0.0012,0.0000,0.0002,0.1764,0.0000,200,17.0100
0.1788,0.0004,0.0000,0.0002,0.1780,0.0002,200,17.0107
0.1824,0.0009,0.0000,0.0002,0.1811,0.0003,200,17.0103
0.3546,0.0003,0.0000,0.0003,0.3536,0.0003,200,17.0107
0.3574,0.0012,0.0000,0.0001,0.3560,0.0001,200,17.0103
0.5323,0.0006,0.0000,0.0001,0.5312,0.0002,200,17.0105
0.7073,0.0004,0.0000,0.0001,0.7065,0.0003,200,17.0108
0.1766,0.0006,0.0000,0.0001,0.1757,0.0001,200,18.0183
0.1773,0.0016,0.0000,0.0001,0.1754,0.0002,200,18.0176
0.1770,0.0008,0.0000,0.0001,0.1760,0.0001,200,18.0183
0.1781,0.0006,0.0000,0.0002,0.1771,0.0002,200,18.0184
0.1841,0.0017,0.0000,0.0000,0.1821,0.0002,200,18.0174
0.3548,0.0016,0.0000,0.0000,0.3530,0.0001,200,18.0176
0.3549,0.0006,0.0000,0.0001,0.3541,0.0002,200,18.0184
0.5305,0.0018,0.0000,0.0001,0.5282,0.0003,200,18.0173
0.1770,0.0006,0.0000,0.0001,0.1762,0.0001,200,19.0097
0.1767,0.0007,0.0000,0.0000,0.1759,0.0001,200,19.0101
0.1766,0.0005,0.0000,0.0000,0.1759,0.0001,200,19.0102
0.1768,0.0004,0.0000,0.0000,0.1759,0.0000,200,19.0099
0.3531,0.0006,0.0000,0.0001,0.3523,0.0001,200,19.0097
0.3527,0.0006,0.0000,0.0000,0.3520,0.0001,200,19.0102
0.5285,0.0007,0.0000,0.0001,0.5275,0.0002,200,19.0102
0.7045,0.0006,0.0000,0.0000,0.7037,0.0002,200,19.0102
0.1772,0.0007,0.0000,0.0003,0.1761,0.0001,200,20.0454
0.1767,0.0006,0.0000,0.0000,0.1760,0.0001,200,20.0459
0.1773,0.0007,0.0000,0.0003,0.1762,0.0000,200,20.0454
0.1866,0.0007,0.0000,0.0003,0.1855,0.0001,200,20.0452
