response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.1823,0.0004,0.0000,0.0003,0.1812,0.0003,200,1.0735
0.3587,0.0005,0.0000,0.0002,0.3576,0.0003,200,1.0734
0.5370,0.0002,0.0000,0.0004,0.5358,0.0005,200,1.0735
0.7124,0.0003,0.0000,0.0001,0.7115,0.0005,200,1.0738
0.1782,0.0006,0.0000,0.0002,0.1771,0.0002,200,2.0733
0.3528,0.0005,0.0000,0.0000,0.3521,0.0001,200,2.0739
0.5289,0.0005,0.0000,0.0001,0.5281,0.0001,200,2.0737
0.7056,0.0045,0.0000,0.0001,0.7007,0.0003,200,2.0733
0.1800,0.0029,0.0000,0.0001,0.1759,0.0011,200,3.0788
0.3537,0.0017,0.0000,0.0002,0.3510,0.0007,200,3.0807
0.5282,0.0002,0.0000,0.0001,0.5278,0.0001,200,3.0827
0.7214,0.0008,0.0000,0.0002,0.7010,0.0002,200,3.0786
0.1977,0.0005,0.0000,0.0001,0.1965,0.0004,200,4.0738
0.3560,0.0045,0.0000,0.0001,0.3512,0.0001,200,4.0737
0.5325,0.0003,0.0000,0.0001,0.5291,0.0001,200,4.0734
0.7082,0.0004,0.0000,0.0001,0.7020,0.0002,200,4.0734
0.1762,0.0007,0.0000,0.0001,0.1751,0.0002,200,5.1094
0.3512,0.0006,0.0000,0.0000,0.3504,0.0002,200,5.1098
0.5275,0.0003,0.0000,0.0001,0.5266,0.0005,200,5.1099
0.7047,0.0002,0.0000,0.0001,0.7042,0.0002,200,5.1100
0.1759,0.0002,0.0000,0.0001,0.1754,0.0002,200,6.0779
0.3579,0.0007,0.0000,0.0002,0.3565,0.0005,200,6.0773
0.5271,0.0005,0.0000,0.0001,0.5264,0.0002,200,6.0778
0.7029,0.0006,0.0000,0.0001,0.7021,0.0001,200,6.0777
0.1807,0.0028,0.0000,0.0002,0.1775,0.0002,200,7.1030
0.3561,0.0052,0.0000,0.0002,0.3506,0.0001,200,7.1036
0.5818,0.0005,0.0000,0.0001,0.5810,0.0001,200,7.1058
0.9201,0.0002,0.0000,0.0000,0.9196,0.0001,200,7.1061
0.1825,0.0009,0.0000,0.0003,0.1810,0.0003,200,8.0996
0.3657,0.0004,0.0000,0.0002,0.3649,0.0002,200,8.1000
0.5698,0.0006,0.0000,0.0001,0.5558,0.0132,200,8.1002
0.7293,0.0002,0.0000,0.0001,0.7288,0.0001,200,8.1003
0.2471,0.0010,0.0000,0.0007,0.2452,0.0002,200,9.1045
0.4231,0.0007,0.0000,0.0006,0.4214,0.0004,200,9.1048
0.6280,0.0005,0.0000,0.0003,0.6269,0.0002,200,9.1049
0.7896,0.0004,0.0000,0.0002,0.7888,0.0002,200,9.1050
0.1773,0.0009,0.0000,0.0002,0.1758,0.0002,200,10.0829
0.3532,0.0001,0.0000,0.0001,0.3528,0.0002,200,10.0838
0.5280,0.0003,0.0000,0.0002,0.5274,0.0002,200,10.0837
0.7039,0.0006,0.0000,0.0000,0.7031,0.0001,200,10.0836
0.1811,0.0014,0.0000,0.0001,0.1794,0.0002,200,11.1139
1.0081,0.0059,0.0000,0.0001,1.0018,0.0003,200,11.1147
1.1771,0.0001,0.0000,0.0001,1.1767,0.0001,200,11.1156
1.3618,0.0001,0.0000,0.0000,1.3614,0.0002,200,11.1158
0.5337,0.0005,0.0000,0.0001,0.5328,0.0002,200,12.1228
0.7045,0.0002,0.0000,0.0001,0.7041,0.0001,200,12.1231
0.7112,0.0007,0.0000,0.0001,0.7102,0.0002,200,12.2926
0.7157,0.0004,0.0000,0.0001,0.7150,0.0002,200,12.4776
0.2885,0.0013,0.0000,0.0000,0.2870,0.0002,200,13.0792
0.4638,0.0006,0.0000,0.0001,0.4628,0.0003,200,13.0798
0.6384,0.0002,0.0000,0.0001,0.6381,0.0001,200,13.0802
0.7025,0.0004,0.0000,0.0001,0.7015,0.0005,200,13.1933
